#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
1V|305|30.03669|-78.6821|-800.0|SIO OBS ID 305|2023-09-07T00:00:00|2023-09-13T23:59:59
1V|306|29.96799|-78.5728|-803.0|SIO OBS ID 306|2023-09-07T00:00:00|2023-09-13T23:59:59
1V|307|29.89921|-78.4637|-817.0|SIO OBS ID 307|2023-09-07T00:00:00|2023-09-13T23:59:59
1V|308|29.830153|-78.355008|-832.0|OBS_ID: D34|2023-09-07T00:00:00|2023-09-14T23:59:59
1V|309|29.76137|-78.246|-849.0|SIO OBS ID 309|2023-09-07T00:00:00|2023-09-13T23:59:59
1V|310|29.69231|-78.1374|-826.0|SIO OBS ID 310|2023-09-06T00:00:00|2023-09-13T23:59:59
1V|311|29.62317|-78.0289|-879.0|SIO OBS ID 311|2023-09-06T00:00:00|2023-09-12T23:59:59
1V|312|29.55368|-77.920697|-832.0|OBS_ID: D25|2023-09-06T00:00:00|2023-09-13T23:59:59
1V|313|29.48463|-77.8124|-853.0|SIO OBS ID 313|2023-09-06T00:00:00|2023-09-12T23:59:59
1V|314|29.41522|-77.7043|-873.0|SIO OBS ID 314|2023-09-06T00:00:00|2023-09-12T23:59:59
1V|315|29.34573|-77.5964|-899.0|SIO OBS ID 315|2023-09-06T00:00:00|2023-09-12T23:59:59
1V|316|29.27587|-77.488745|-947.0|OBS_ID: D28|2023-09-06T00:00:00|2023-09-13T23:59:59
1V|317|29.20649|-77.3811|-1020.0|SIO OBS ID 317|2023-09-06T00:00:00|2023-09-12T23:59:59
1V|318|29.13674|-77.2736|-1037.0|SIO OBS ID 318|2023-09-06T00:00:00|2023-09-12T23:59:59
CO|BARN|34.13742|-80.69453|73.05|Farm at One Under Lane, Elgin SC|2021-12-31T00:00:00|2599-12-31T23:59:59
CO|BIRD|34.645|-80.4615|132.0|Birdtown, Kershaw, SC, USA|2010-08-25T00:00:00|2599-12-31T23:59:59
CO|C1SC|32.798|-79.959|5.0|The Citadel,Charleston,SC|2012-10-08T19:00:00|2599-12-31T23:59:59
CO|CSB|32.98698|-80.071545|6.0|Charleston Southern University, Charleston, SC, USA|2009-04-13T00:00:00|2599-12-31T23:59:59
CO|HAW|33.3612|-81.6097|112.0|Hawthorne Fire Tower, SC, USA|2010-03-11T00:00:00|2599-12-31T23:59:59
CO|SUMMV|33.0658|-80.2738|17.1|Summerville Airport, SC, USA|2015-04-21T00:00:00|2599-12-31T23:59:59
CO|TEEBA|32.8975|-80.1911|11.22|Mateeba, Summerville SC|2018-04-25T00:00:00|2599-12-31T23:59:59
N4|257A|31.9746|-81.0261|9.0|Skidaway Island, Savannah, GA, USA|2014-01-21T00:00:00|2599-12-31T23:59:59
N4|456A|30.7248|-82.0223|26.0|Hilliard, FL, USA|2013-12-19T00:00:00|2599-12-31T23:59:59
N4|W59A|35.1673|-78.443|60.0|Clinton, NC, USA|2013-03-01T00:00:00|2599-12-31T23:59:59
N4|X58A|34.5548|-79.3388|45.0|Rowland, NC, USA|2013-02-01T00:00:00|2599-12-31T23:59:59
N4|Y57A|34.017|-80.3915|56.0|Sumter, SC, USA|2013-02-01T00:00:00|2599-12-31T23:59:59
N4|Y58A|33.9057|-79.6665|19.0|Scranton, SC, USA|2013-02-01T00:00:00|2599-12-31T23:59:59
N4|Y60A|34.0046|-78.2163|7.0|Bolivia, NC, USA|2015-01-30T00:00:00|2599-12-31T23:59:59
NP|2543|32.83552|-80.0465|2.0|St Andrews Fire Station 3|1983-01-27T18:00:00|2599-12-31T23:59:59
NP|2544|32.78112|-79.93198|5.0|Charleston Place Hotel|1986-12-11T18:00:00|2599-12-31T23:59:59
NP|2554|33.97525|-80.96105|77.0|VAMC, Bldg 106|2004-05-19T18:00:00|2599-12-31T23:59:59
NP|2561|32.78401|-79.9539|2.0|VAMC, Bldg 1|2013-01-25T18:00:00|2599-12-31T23:59:59
NQ|JASP|32.771702|-79.819939|3.0|Jasper Blvd, Sullivans Island, SC|2015-05-03T15:30:00|2599-12-31T23:59:59
NQ|SVIL|33.054581|-80.134956|25.0|Netherfield Dr, Summerville, SC|2015-05-02T15:00:00|2599-12-31T23:59:59
NQ|THOR|32.759289|-80.116943|3.0|Thorn Chase Lane, Johns Island, SC|2015-05-01T15:30:00|2599-12-31T23:59:59
US|NHSC|33.1067|-80.1778|11.0|New Hope, South Carolina, USA|2001-05-01T00:00:00|2599-12-31T23:59:59

#DATACENTER=NCEDC,http://www.ncedc.org
NP|2543|32.83552|-80.0465|2.0|St Andrews Fire Station 3|2599-12-31T23:59:59|3000-01-01T00:00:00
