#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
TA|V59A|35.7649|-78.239403|58.0|Middlesex, NC, USA|2013-03-12T00:00:00|2015-04-01T23:59:59
TA|V60A|35.764999|-77.262901|8.0|Jim Taylor Road, Stokes, NC, USA|2013-04-06T00:00:00|2015-04-05T23:59:59
TA|V61A|35.791199|-76.577599|4.0|Roper, NC, USA|2013-03-11T00:00:00|2015-02-02T23:59:59
TA|V62A|35.561199|-75.957001|-3.0|Hyde County Airport, Englehard, NC, USA|2013-04-25T00:00:00|2015-04-19T23:59:59
TA|W57A|35.152901|-79.992798|85.0|Gilead, NC, USA|2013-03-08T00:00:00|2015-01-30T23:59:59
TA|W58A|35.020802|-79.233299|84.0|Raeford, NC, USA|2013-03-23T00:00:00|2015-02-26T23:59:59
TA|W59A|35.167301|-78.443001|60.0|Clinton, NC, USA|2013-03-09T00:00:00|2015-02-21T23:59:59
TA|W60A|35.052799|-77.713303|30.0|Pink Hill, NC, USA|2013-03-09T00:00:00|2015-02-20T23:59:59
TA|W61A|35.177299|-76.990898|6.0|Ground Anchor Farm, New Bern, NC, USA|2013-04-07T00:00:00|2015-03-04T23:59:59
TA|X58A|34.554798|-79.338799|45.0|Rowland, NC, USA|2013-02-08T00:00:00|2015-01-26T23:59:59
TA|X59A|34.571999|-78.602303|29.0|McDuffie Farm, Elizabethtown, NC, USA|2013-02-10T00:00:00|2015-02-27T23:59:59
TA|X60A|34.577301|-77.976799|12.0|Albert Glenn Thornton, NC, USA|2013-03-10T00:00:00|2015-04-04T23:59:59
TA|Y58A|33.905701|-79.666496|19.0|Scranton, SC, USA|2013-02-22T00:00:00|2015-01-25T23:59:59
TA|Y59A|33.9897|-78.873703|2.0|Loris, SC, USA|2013-06-26T00:00:00|2015-01-25T23:59:59
TA|Y60A|34.004601|-78.216301|7.0|Bolivia, NC, USA|2013-02-27T00:00:00|2015-01-30T23:59:59
TA|Z59A|33.241402|-79.278|8.0|Georgetown, SC, USA|2013-02-23T00:00:00|2015-03-03T23:59:59
US|CBN|38.2046|-77.3732|70.0|Corbin (Fredericksburg Observatory), Virginia, USA|2001-06-15T00:00:00|2599-12-31T23:59:59
US|CNNC|35.2393|-77.8901|29.0|Cliffs of the Neuse, North Carolina, USA|2006-06-25T00:00:00|2018-09-25T04:00:00
XQ|NC01|35.622101|-79.200996|107.0|NC01|2012-03-26T00:00:00|2014-12-31T23:59:59
XQ|NC02|35.562099|-79.468597|147.0|NC02|2012-03-26T00:00:00|2014-12-31T23:59:59
XQ|NC03|35.5373|-79.303802|100.0|NC03|2012-03-25T00:00:00|2014-12-31T23:59:59
XQ|NC04|35.554001|-79.242401|92.0|NC04|2012-03-25T00:00:00|2014-12-31T23:59:59
XQ|NC05|35.5336|-79.201401|98.0|NC05|2012-03-26T00:00:00|2014-12-31T23:59:59
XQ|NC06|35.5256|-79.016899|84.0|NC06|2012-04-07T00:00:00|2014-12-31T23:59:59
XQ|NC07|35.470001|-79.379898|99.0|NC07|2012-03-25T00:00:00|2014-12-31T23:59:59
XQ|NC08|35.4678|-79.313103|106.0|NC08|2012-03-27T00:00:00|2014-12-31T23:59:59
XQ|NC09|35.4505|-79.281898|121.0|NC09|2012-03-26T00:00:00|2014-12-31T23:59:59
XQ|NC10|35.472099|-79.217903|123.0|NC10|2012-03-25T00:00:00|2014-12-31T23:59:59
XQ|NC11|35.407299|-79.283203|155.0|NC11|2012-03-26T00:00:00|2014-12-31T23:59:59
XQ|NC12|35.384701|-79.2435|136.0|NC12|2012-03-27T00:00:00|2014-12-31T23:59:59
YO|100|35.924999|-75.193703|-35.0|WHOI OBS ID D62|2014-09-28T00:00:00|2014-10-05T23:59:59
YO|101|35.925999|-75.191597|-35.0|SIO OBS ID 101|2014-09-28T00:00:00|2014-10-05T23:59:59
YO|102|35.868301|-75.042297|-40.0|WHOI OBS ID D25|2014-09-28T00:00:00|2014-10-05T23:59:59
YO|103|35.807598|-74.880898|-96.0|WHOI OBS ID D40|2014-09-28T00:00:00|2014-10-05T23:59:59
YO|104|35.7547|-74.739799|-878.0|WHOI OBS ID D44|2014-09-28T00:00:00|2014-10-05T23:59:59
YO|105|35.692902|-74.5998|-1604.0|SIO OBS ID 105|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|106|35.638199|-74.449501|-2368.0|SIO OBS ID 106|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|107|35.583302|-74.300102|-2614.0|SIO OBS ID 107|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|108|35.527599|-74.150497|-2829.0|WHOI OBS ID D29|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|109|35.471802|-74.0019|-3036.0|WHOI OBS ID D55|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|110|35.419601|-73.852699|-3271.0|WHOI OBS ID D39|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|111|35.362301|-73.704697|-3427.0|WHOI OBS ID D03|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|112|35.305|-73.557602|-3600.0|SIO OBS ID 112|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|113|35.247398|-73.409897|-3774.0|SIO OBS ID 113|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|114|35.190201|-73.262604|-3937.0|SIO OBS ID 114|2014-09-28T00:00:00|2014-10-06T23:59:59
YO|115|35.132999|-73.115997|-4080.0|WHOI OBS ID D26|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|116|35.075298|-72.969101|-4190.0|WHOI OBS ID D10|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|117|35.017399|-72.822502|-4265.0|WHOI OBS ID D04|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|118|34.959099|-72.676399|-4340.0|WHOI OBS ID D51|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|119|34.9002|-72.530701|-4395.0|SIO OBS ID 119|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|120|34.841099|-72.3853|-4441.0|SIO OBS ID 120|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|121|34.7822|-72.240799|-4447.0|SIO OBS ID 121|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|122|34.7229|-72.095802|-4433.0|WHOI OBS ID D49|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|123|34.6632|-71.950798|-4388.0|WHOI OBS ID D09|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|124|34.603401|-71.806297|-4416.0|WHOI OBS ID D11|2014-09-28T00:00:00|2014-10-07T23:59:59
YO|125|34.5434|-71.662598|-4491.0|WHOI OBS ID D35|2014-09-27T00:00:00|2014-10-08T23:59:59
YO|201|34.449501|-76.888199|-26.0|SIO OBS ID 201|2014-09-18T00:00:00|2014-09-22T23:59:59
YO|202|34.356899|-76.674103|-28.0|SIO OBS ID 202|2014-09-17T00:00:00|2014-09-22T23:59:59
YO|203|34.265099|-76.464203|-33.0|SIO OBS ID 203|2014-09-17T00:00:00|2014-09-22T23:59:59
YO|204|34.172001|-76.253304|-40.0|SIO OBS ID 204|2014-09-17T00:00:00|2014-09-22T23:59:59
YO|205|34.076302|-76.044197|-381.0|WHOI OBS ID D34|2014-09-17T00:00:00|2014-09-22T23:59:59
YO|206|33.9856|-75.829803|-864.0|WHOI OBS ID D06|2014-09-17T00:00:00|2014-09-21T23:59:59
YO|207|33.888901|-75.621002|-2977.0|WHOI OBS ID D50|2014-09-17T00:00:00|2014-09-21T23:59:59
YO|208|33.764301|-75.341103|-3203.0|SIO OBS ID 208|2014-09-17T00:00:00|2014-09-21T23:59:59
YO|209|33.700699|-75.199898|-3381.0|SIO OBS ID 209|2014-09-17T00:00:00|2014-09-21T23:59:59
YO|210|33.641602|-75.055199|-3553.0|SIO OBS ID 210|2014-09-17T00:00:00|2014-09-21T23:59:59
YO|211|33.577499|-74.914803|-3717.0|SIO OBS ID 211|2014-09-17T00:00:00|2014-09-21T23:59:59
YO|212|33.507|-74.780899|-3893.0|SIO OBS ID 212|2014-09-17T00:00:00|2014-09-20T23:59:59
YO|213|33.443401|-74.640099|-4068.0|WHOI OBS ID D04|2014-09-17T00:00:00|2014-09-20T23:59:59
YO|214|33.378899|-74.5009|-4242.0|WHOI OBS ID D60|2014-09-17T00:00:00|2014-09-20T23:59:59
YO|215|33.314701|-74.360703|-4379.0|WHOI OBS ID D29|2014-09-17T00:00:00|2014-09-20T23:59:59
YO|216|33.2444|-74.220398|-4494.0|WHOI OBS ID D62|2014-09-17T00:00:00|2014-09-20T23:59:59
YO|217|33.185299|-74.083603|-4572.0|SIO OBS ID 217|2014-09-16T00:00:00|2014-09-20T23:59:59
YO|218|33.119701|-73.944504|-4682.0|SIO OBS ID 218|2014-09-16T00:00:00|2014-09-20T23:59:59
YO|219|33.054901|-73.806198|-4770.0|SIO OBS ID 219|2014-09-16T00:00:00|2014-09-20T23:59:59
YO|220|32.9911|-73.670998|-4893.0|SIO OBS ID 220|2014-09-16T00:00:00|2014-09-20T23:59:59
YO|221|32.925598|-73.532303|-4993.0|SIO OBS ID 221|2014-09-16T00:00:00|2014-09-19T23:59:59
YO|222|32.8442|-73.359901|-5073.0|WHOI OBS ID D40|2014-09-16T00:00:00|2014-09-19T23:59:59
YO|223|32.761902|-73.187599|-5134.0|WHOI OBS ID D63|2014-09-16T00:00:00|2014-09-19T23:59:59
YO|224|32.68|-73.015602|-5197.0|WHOI OBS ID D90|2014-09-16T00:00:00|2014-09-19T23:59:59
YO|225|32.598701|-72.843498|-4130.0|WHOI OBS ID D31|2014-09-16T00:00:00|2014-09-19T23:59:59
YO|2404|33.827801|-75.4804|-3044.0|WHOI OBS ID D56|2014-09-17T00:00:00|2014-09-21T23:59:59
YO|301|32.870201|-73.737503|-4858.0|SIO OBS ID 301|2014-09-16T00:00:00|2014-09-24T23:59:59
YO|302|33.123199|-73.605499|-4864.0|SIO OBS ID 302|2014-09-16T00:00:00|2014-09-25T23:59:59
YO|303|33.255402|-73.539902|-4974.0|SIO OBS ID 303|2014-09-16T00:00:00|2014-09-25T23:59:59
YO|304|33.387699|-73.474503|-4748.0|SIO OBS ID 304|2014-09-16T00:00:00|2014-09-25T23:59:59
YO|305|33.519402|-73.408699|-4695.0|SIO OBS ID 305|2014-09-16T00:00:00|2014-09-25T23:59:59
YO|306|33.651402|-73.342697|-4659.0|WHOI OBS ID D32|2014-09-16T00:00:00|2014-09-25T23:59:59
YO|307|33.7864|-73.283401|-4743.0|WHOI OBS ID D49|2014-09-16T00:00:00|2014-09-25T23:59:59
YO|308|33.915001|-73.210403|-4646.0|WHOI OBS ID D09|2014-09-16T00:00:00|2014-09-25T23:59:59
YO|309|34.047001|-73.143997|-4515.0|WHOI OBS ID D26|2014-09-16T00:00:00|2014-09-26T23:59:59
YO|310|34.178699|-73.076698|-4453.0|WHOI OBS ID D10|2014-09-15T00:00:00|2014-09-26T23:59:59
YO|311|34.311699|-73.011497|-4439.0|SIO OBS ID 311|2014-09-15T00:00:00|2014-09-26T23:59:59
YO|312|34.442902|-72.9422|-4502.0|SIO OBS ID 312|2014-09-15T00:00:00|2014-09-26T23:59:59
YO|313|34.574501|-72.874901|-4497.0|SIO OBS ID 313|2014-09-15T00:00:00|2014-09-26T23:59:59
YO|314|34.7057|-72.807297|-4404.0|SIO OBS ID 314|2014-09-15T00:00:00|2014-09-26T23:59:59
YO|315|34.837299|-72.740196|-4343.0|WHOI OBS ID D55|2014-09-15T00:00:00|2014-09-26T23:59:59
YO|316|34.9585|-72.675797|-4333.0|WHOI OBS ID D03|2014-09-15T00:00:00|2014-09-26T23:59:59
YO|317|35.104801|-72.601303|-4323.0|WHOI OBS ID D39|2014-09-15T00:00:00|2014-09-27T23:59:59
YO|318|35.249802|-72.524696|-4301.0|WHOI OBS ID D11|2014-09-15T00:00:00|2014-09-27T23:59:59
YO|319|35.3951|-72.447197|-4225.0|WHOI OBS ID D35|2014-09-15T00:00:00|2014-09-27T23:59:59
YO|320|35.541199|-72.371399|-4175.0|SIO OBS ID 320|2014-09-15T00:00:00|2014-09-27T23:59:59
YO|321|35.686501|-72.294296|-4078.0|WHOI OBS ID D51|2014-09-15T00:00:00|2014-09-27T23:59:59
YO|401|33.3979|-75.8339|-2900.0|SIO OBS ID 401|2014-09-22T00:00:00|2014-10-02T23:59:59
YO|402|33.567299|-75.725403|-3012.0|SIO OBS ID 402|2014-09-22T00:00:00|2014-10-02T23:59:59
YO|403|33.737301|-75.623901|-3073.0|SIO OBS ID 403|2014-09-22T00:00:00|2014-10-02T23:59:59
YO|404|33.9002|-75.518097|-3001.0|SIO OBS ID 404|2014-09-22T00:00:00|2014-10-02T23:59:59
YO|405|34.067799|-75.4123|-2967.0|SIO OBS ID 405|2014-09-22T00:00:00|2014-10-03T23:59:59
YO|406|34.235298|-75.304298|-3024.0|WHOI OBS ID D56|2014-09-22T00:00:00|2014-10-03T23:59:59
